dispatch_ts,street,xstreet1,xstreet2,lon,lat
2023-05-28 14:03:28,FARNSWORTH ST,,,-71.04780793561974,42.35227780094479
2023-05-17 00:50:05,,,,-71.08576313108206,42.343374593597815
2023-07-12 20:06:56,,,,-71.05825757845017,42.329758837192905
2023-05-19 05:07:41,DORCHESTER AVE,,,-71.06543205863981,42.281700128896574
2023-10-13 04:03:56,TEMPLE PL,,,-71.06153229781877,42.35494525382701
2023-09-15 13:56:49,BACK ST,,,-71.08271370241526,42.35326697747881
2023-02-20 16:26:56,,,,-71.13698507671798,42.27831741006775
2023-03-15 21:34:15,HAMLET ST,,,-71.06423381745397,42.31812655407524
2023-11-27 13:38:52,,,,-71.07559459777922,42.35148955746563
2023-03-21 09:50:20,,,,-71.068597703193,42.34019142788279
2023-07-21 21:42:25,HUNTINGTON AVE,,,-71.1113663641647,42.33025115293195
2023-12-08 20:45:56,CENTER PLZ,,,-71.05998653947707,42.359124694697506
2023-06-17 14:15:49,SUMNER ST,,,-71.03975492299514,42.368877415477385
2023-08-02 18:05:04,BELLEVUE ST,,,-71.06910387637572,42.30897951677021
2023-12-30 15:13:40,,,,-71.0633735128278,42.300160394971606
2023-04-07 19:48:18,BEACON ST,,,-71.1056023438088,42.346564682824514
2023-07-31 00:06:41,SOLDIERS FIELD RD,,,-71.14138786601255,42.36342141213003
2023-06-25 16:21:22,TREMONT ST,,,-71.07062896314606,42.34450655834227
2023-01-04 13:26:27,CENTRE ST,,,-71.09990375951381,42.32276765341235
2023-09-28 21:27:04,,,,-71.10725210925047,42.33892087774625
2023-08-09 04:56:08,STUART ST,,,-71.06766441381589,42.35076585490496
2023-12-19 23:46:15,COLUMBIA RD,,,-71.0779188702332,42.30615952084611
2023-07-08 20:32:07,COMMONWEALTH AVE,,,-71.14054426387445,42.34706003636808
2023-10-11 13:27:08,,,,-71.08773574910583,42.347297506470184
2023-07-05 05:12:24,STATE ST,,,-71.05091363414081,42.359755631912726
2023-01-29 20:10:24,,,,-71.03541672274113,42.33564961125607
2023-09-08 02:55:14,,,,-71.05825757845017,42.329758837192905
2023-10-10 14:24:40,JEWISH WAR VETERANS DR,,,-71.09871298000408,42.297132994914634
2023-08-25 14:54:18,MASSACHUSETTS AVE,,,-71.07305021734287,42.3331676125336
2023-10-27 12:48:51,BOYLSTON ST,,,-71.06358481164132,42.352311665364425
2023-07-24 15:47:41,TREMONT ST,,,-71.0594855741853,42.35925473502259
2023-09-21 11:41:51,,,,-71.0716660174578,42.33223893816556
2023-08-06 20:54:59,,,,-71.10026881221391,42.35077738777686
2023-12-13 17:14:14,,,,-71.07756169729498,42.33326084305027
2023-07-22 13:09:56,,,,-71.11802754430326,42.30881864810522
2023-11-02 15:31:54,,,,-71.07440045611192,42.332865090779485
2023-12-25 20:51:59,WESTERN AVE,,,-71.13198639812475,42.36320229869539
2023-08-28 17:36:06,FESSENDEN ST,,,-71.09214680631874,42.278670442871146
2023-11-14 16:10:33,,,,-71.0894836662669,42.350858072765824
2023-07-03 05:33:34,BOYLSTON ST,,,-71.08544162384082,42.347906245181555
2023-11-05 00:05:39,DUDLEY ST,,,-71.0660691278255,42.317469884409306
2023-06-22 00:13:02,,,,-71.08147196781847,42.319052412067144
2023-10-19 23:39:01,COMMONWEALTH AVE,,,-71.12341711076695,42.35213093390705
2023-01-27 19:02:59,,,,-71.13661903875693,42.35356777574584
2023-08-18 00:53:41,BEACON ST,,,-71.15089189198947,42.336055250335825
2023-06-20 10:22:06,RUTHERFORD AVE,,,-71.07359942724368,42.38363624088279
2023-08-21 21:58:36,,,,-71.06916632893811,42.329542979983
2023-04-26 18:41:54,WASHINGTON ST,,,-71.06254450866288,42.35301520665642
2023-07-11 14:33:27,WILLIAM J DAY BLVD,,,-71.01931897266081,42.33871247640213
2023-10-23 13:29:31,,,,-71.05549749653231,42.341840125671645
2023-12-01 12:54:10,,,,-71.07531699802902,42.34200285245825
2023-05-24 18:58:47,,,,-71.05304791839848,42.3316007144107
2023-03-10 08:04:01,BEACON ST,,,-71.07919905888606,42.35362152043918
2023-09-01 13:24:33,,,,-71.12371933998844,42.36833400288524
2023-09-06 18:35:10,DUDLEY ST,,,-71.07806749870042,42.32807257455936
2023-11-07 15:49:49,,,,-71.11090364019945,42.35064458182849
2023-03-28 13:08:12,TREMONT ST,,,-71.06313802272501,42.355393667031045
2023-04-16 15:25:20,,,,-71.05427330461684,42.342867854605814
2023-09-09 06:20:22,TREMONT ST,,,-71.06574701306259,42.34864084735592
2023-07-23 04:50:05,,,,-71.08850138904974,42.28687893228153
2023-06-22 13:10:32,AVENUE LOUIS PASTEUR ,,,-71.10236124840405,42.33829033039272
2023-07-23 22:22:01,,,,-71.05031441290704,42.30130029156757
2023-08-31 11:30:20,,,,-71.15039335433343,42.33553916104743
2023-09-14 17:08:57,,,,-71.1107381844917,42.35204825372744
2023-06-02 20:12:14,,,,-71.12383328463616,42.31930813410081
2023-11-22 02:16:41,,,,-71.09158113105426,42.348843914630784
2023-03-11 16:13:10,GALLIVAN BLVD,,,-71.04523512756576,42.28446479466042
2023-08-28 14:54:40,JEWISH WAR VETERANS DR,,,-71.10075746041255,42.30266756240769
2023-10-06 12:49:38,,,,-71.0812750269311,42.34506274949909
2023-10-26 19:50:54,WARREN ST,,,-71.08258599809963,42.323699481148736
2023-06-26 19:08:19,HARVARD ST,,,-71.12497804903832,42.36701240236648
2023-07-06 01:44:04,LINDEN ST,,,-71.0581671265987,42.30597605134514
2023-07-05 23:27:34,KING ST,,,-71.0601908277562,42.292400024724216
2023-09-27 18:22:41,,,,-71.07702219706704,42.33646616628194
2023-11-16 18:20:13,,,,-71.10604446244054,42.31485296849013
2023-10-28 22:13:56,COLUMBIA RD,,,-71.07414625197808,42.3090691745992
2023-09-27 01:45:53,,,,-71.07881859941854,42.340125762574345
2023-08-21 12:23:01,COMMONWEALTH AVE,,,-71.1123714697768,42.35060437915448
2023-12-11 11:17:46,WASHINGTON ST,,,-71.11462792993642,42.30045011688833
2023-07-10 22:02:56,,,,-71.098390266271,42.32494158672127
2023-09-22 13:42:23,DORCHESTER AVE,,,-71.0581479137944,42.308837703924254
2023-12-08 22:24:52,CENTER PLZ,,,-71.05998653947707,42.359124694697506
2023-07-17 13:23:28,COMMONWEALTH AVE,,,-71.1248091793872,42.35168573730908
2023-07-12 04:44:26,,,,-71.00684901538774,42.38669724410582
2023-08-09 22:25:21,,,,-71.03655139159505,42.37092413954134
2023-06-28 11:13:21,DORCHESTER AVE,,,-71.05695778774742,42.3301664111603
2023-05-03 12:56:26,,,,-71.04266705536637,42.282131947960686
2023-11-06 23:48:22,UNIVERSITY RD,,,-71.10952873901857,42.35115200962363
2023-09-19 00:23:12,KILMARNOCK ST,,,-71.09988309836629,42.34370262995474
